Date,company_name,Amount,Exchange,Segment,scrip_code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,side,quantity,price,yahoo_ticker,yahoo_stock_name
2022-11-04 00:00:00,I T C LTD,1066.35,NSE,EQ,500875,Equity,,,26213629,10:16:49,Buy,3,355.45,ITC.NS,
2022-11-04 00:00:00,I T C LTD,710.9,NSE,EQ,500875,Equity,,,26213630,10:16:49,Buy,2,355.45,ITC.NS,
2022-11-04 00:00:00,I T C LTD,5331.75,NSE,EQ,500875,Equity,,,26213631,10:16:49,Buy,15,355.45,ITC.NS,
2022-11-04 00:00:00,REDINGTON,24435,NSE,EQ,532805,Equity,,,76723481,10:30:14,Buy,150,162.9,REDINGTON.NS,
2022-11-04 00:00:00,VARUN BEVERAGES LIMITED,11545.5,NSE,EQ,540180,Equity,,,76742180,10:31:36,Buy,10,1154.55,VBL.NS,
2022-11-04 00:00:00,Equitas Small Finance Bank,7447.5,NSE,EQ,543243,Equity,,,26337422,10:28:02,Buy,150,49.65,EQUITASBNK.NS,
2022-11-03 00:00:00,TITAN IND.,10976.8,NSE,EQ,500114,Equity,,,77495202,12:25:57,Buy,4,2744.2,TITAN.NS,
2022-11-03 00:00:00,NTPC LTD,27022.5,NSE,EQ,532555,Equity,,,51384263,10:23:57,Sell,150,180.15,NTPC.NS,
2022-11-03 00:00:00,VARUN BEVERAGES LIMITED,7062.3,NSE,EQ,540180,Equity,,,76293964,10:21:14,Buy,6,1177.05,VBL.NS,
2022-11-03 00:00:00,KPIT Technologies Ltd,4921.7,NSE,EQ,542651,Equity,,,52390910,12:07:39,Sell,7,703.1,KPITTECH.NS,
2022-11-03 00:00:00,KPIT Technologies Ltd,11249.6,NSE,EQ,542651,Equity,,,52390911,12:07:39,Sell,16,703.1,KPITTECH.NS,
2022-11-03 00:00:00,KPIT Technologies Ltd,703.1,NSE,EQ,542651,Equity,,,52390912,12:07:39,Sell,1,703.1,KPITTECH.NS,
2022-11-03 00:00:00,KPIT Technologies Ltd,32342.6,NSE,EQ,542651,Equity,,,52390913,12:07:39,Sell,46,703.1,KPITTECH.NS,
2022-11-03 00:00:00,Polycab India Limited,2761.1,NSE,EQ,542652,Equity,,,52386789,12:07:05,Sell,1,2761.1,POLYCAB.NS,
2022-11-03 00:00:00,Polycab India Limited,30372.1,NSE,EQ,542652,Equity,,,52386790,12:07:05,Sell,11,2761.1,POLYCAB.NS,
2022-11-03 00:00:00,Equitas Small Finance Bank,9800,NSE,EQ,543243,Equity,,,27393842,12:29:35,Buy,200,49,EQUITASBNK.NS,
2022-11-03 00:00:00,KARUR VYSYA BANK LTD.,5052.5,NSE,EQ,590003,Equity,,,51310272,10:18:23,Buy,50,101.05,KARURVYSYA.NS,
2022-11-02 00:00:00,HOUSING DEVELOPMENT FINANCE CO,20160,NSE,EQ,500010,Equity,,,25972380,09:59:16,Sell,8,2520,500010.BO,
2022-11-02 00:00:00,HOUSING DEVELOPMENT FINANCE CO,10080,NSE,EQ,500010,Equity,,,25972381,09:59:16,Sell,4,2520,500010.BO,
2022-11-02 00:00:00,HOUSING DEVELOPMENT FINANCE CO,7560,NSE,EQ,500010,Equity,,,25972382,09:59:16,Sell,3,2520,500010.BO,
2022-11-02 00:00:00,N R AGARW IN,9110.3,NSE,EQ,516082,Equity,,,51703529,11:01:56,Sell,23,396.1,NRAIL.NS,
2022-11-02 00:00:00,N R AGARW IN,22574.85,NSE,EQ,516082,Equity,,,51703530,11:01:56,Sell,57,396.05,NRAIL.NS,
2022-11-02 00:00:00,ACTION CONST,6203.4,NSE,EQ,532762,Equity,,,863946,09:55:58,Sell,21,295.4,ACE.NS,
2022-11-02 00:00:00,ACTION CONST,295.4,NSE,EQ,532762,Equity,,,863947,09:55:58,Sell,1,295.4,ACE.NS,
2022-11-02 00:00:00,ACTION CONST,3544.2,NSE,EQ,532762,Equity,,,863948,09:55:58,Sell,12,295.35,ACE.NS,
2022-11-02 00:00:00,ACTION CONST,9451.2,NSE,EQ,532762,Equity,,,863949,09:55:58,Sell,32,295.35,ACE.NS,
2022-11-02 00:00:00,ACTION CONST,5907,NSE,EQ,532762,Equity,,,863950,09:55:58,Sell,20,295.35,ACE.NS,
2022-11-02 00:00:00,ACTION CONST,4134.2,NSE,EQ,532762,Equity,,,863951,09:55:58,Sell,14,295.3,ACE.NS,
2022-11-02 00:00:00,KARUR VYSYA BANK LTD.,9995,NSE,EQ,590003,Equity,,,51006961,10:00:18,Buy,100,99.95,KARURVYSYA.NS,
2022-11-01 00:00:00,VINYL CHEM,33050,BSE,EQ,524129,Equity,,,3952700,13:15:25,Buy,50,661,VINYLINDIA.NS,
2022-11-01 00:00:00,TITAN IND.,5540,NSE,EQ,500114,Equity,,,75956935,09:55:27,Buy,2,2770,TITAN.NS,
2022-11-01 00:00:00,FEDERAL BANK,9945,NSE,EQ,500469,Equity,,,25846291,09:43:20,Buy,75,132.6,FEDERALBNK.NS,
2022-11-01 00:00:00,APAR INDUS,29102,NSE,EQ,532259,Equity,,,2852408,13:08:01,Sell,20,1455.1,APARINDS.NS,
2022-11-01 00:00:00,GRANULES INDIA LTD.,7434,NSE,EQ,532482,Equity,,,28351131,13:08:56,Buy,20,371.7,GRANULES.NS,
2022-11-01 00:00:00,NTPC LTD,18205.25,NSE,EQ,532555,Equity,,,53011386,13:17:20,Buy,101,180.25,NTPC.NS,
2022-11-01 00:00:00,NTPC LTD,8832.25,NSE,EQ,532555,Equity,,,53011387,13:17:20,Buy,49,180.25,NTPC.NS,
2022-11-01 00:00:00,VARUN BEVERAGES LIMITED,10870.5,NSE,EQ,540180,Equity,,,78107612,13:09:16,Buy,10,1087.05,VBL.NS,
2022-11-01 00:00:00,PRICOL LIMITED.,33048.75,NSE,EQ,540293,Equity,,,52902802,13:06:07,Sell,175,188.85,PRICOLLTD.NS,
2022-11-01 00:00:00,HAL,2540.9,NSE,EQ,541154,Equity,,,25935243,09:48:32,Buy,1,2540.9,HAL.NS,
2022-11-01 00:00:00,HAL,7624.35,NSE,EQ,541154,Equity,,,25935244,09:48:32,Buy,3,2541.45,HAL.NS,
2022-11-01 00:00:00,Equitas Small Finance Bank,30630,NSE,EQ,543243,Equity,,,29070782,14:20:57,Buy,600,51.05,EQUITASBNK.NS,
2022-10-31 00:00:00,HOUSING DEVELOPMENT FINANCE CO,36808.5,NSE,EQ,500010,Equity,,,28758706,14:02:32,Buy,15,2453.9,500010.BO,
2022-10-31 00:00:00,CUMMINS INDI,7959.3,NSE,EQ,500480,Equity,,,1944429,11:50:26,Buy,6,1326.55,CUMMINSIND.NS,
2022-10-31 00:00:00,CUMMINS INDI,25204.45,NSE,EQ,500480,Equity,,,1944430,11:50:26,Buy,19,1326.55,CUMMINSIND.NS,
2022-10-31 00:00:00,I T C LTD,8753.75,NSE,EQ,500875,Equity,,,26377612,10:19:24,Buy,25,350.15,ITC.NS,
2022-10-31 00:00:00,NEYVELI LIG,1309.85,NSE,EQ,513683,Equity,,,53329972,14:01:36,Buy,17,77.05,NLCINDIA.NS,
2022-10-31 00:00:00,NEYVELI LIG,29529.3,NSE,EQ,513683,Equity,,,53329973,14:01:36,Buy,383,77.1,NLCINDIA.NS,
2022-10-31 00:00:00,N R AGARW IN,4100,NSE,EQ,516082,Equity,,,51193460,10:14:52,Buy,10,410,NRAIL.NS,
2022-10-31 00:00:00,N R AGARW IN,2050,NSE,EQ,516082,Equity,,,51193461,10:14:52,Buy,5,410,NRAIL.NS,
2022-10-31 00:00:00,N R AGARW IN,26650,NSE,EQ,516082,Equity,,,51193462,10:14:52,Buy,65,410,NRAIL.NS,
2022-10-31 00:00:00,TRIVENI ENGI,2532.5,NSE,EQ,532356,Equity,,,76230415,10:09:23,Sell,10,253.25,TRIVENI.NS,
2022-10-31 00:00:00,TRIVENI ENGI,2278.8,NSE,EQ,532356,Equity,,,76230416,10:09:23,Sell,9,253.2,TRIVENI.NS,
2022-10-31 00:00:00,TRIVENI ENGI,253.2,NSE,EQ,532356,Equity,,,76230417,10:09:23,Sell,1,253.2,TRIVENI.NS,
2022-10-31 00:00:00,TRIVENI ENGI,8355.6,NSE,EQ,532356,Equity,,,76230418,10:09:23,Sell,33,253.2,TRIVENI.NS,
2022-10-31 00:00:00,TRIVENI ENGI,3544.1,NSE,EQ,532356,Equity,,,76230419,10:09:23,Sell,14,253.15,TRIVENI.NS,
2022-10-31 00:00:00,TRIVENI ENGI,12657.5,NSE,EQ,532356,Equity,,,76230420,10:09:23,Sell,50,253.15,TRIVENI.NS,
2022-10-31 00:00:00,TRIVENI ENGI,759.45,NSE,EQ,532356,Equity,,,76230421,10:09:23,Sell,3,253.15,TRIVENI.NS,
2022-10-31 00:00:00,ACTION CONST,31000,NSE,EQ,532762,Equity,,,1076695,10:17:02,Buy,100,310,ACE.NS,
2022-10-31 00:00:00,DEV CRBANK,32550,NSE,EQ,532772,Equity,,,27833822,12:28:06,Buy,300,108.5,DCBBANK.NS,
2022-10-31 00:00:00,PRICOL LIMITED.,9429.6,NSE,EQ,540293,Equity,,,53526532,14:21:45,Buy,48,196.45,PRICOLLTD.NS,
2022-10-31 00:00:00,PRICOL LIMITED.,17287.6,NSE,EQ,540293,Equity,,,53526533,14:21:45,Buy,88,196.45,PRICOLLTD.NS,
2022-10-31 00:00:00,PRICOL LIMITED.,785.8,NSE,EQ,540293,Equity,,,53526534,14:21:45,Buy,4,196.45,PRICOLLTD.NS,
2022-10-31 00:00:00,PRICOL LIMITED.,5698.5,NSE,EQ,540293,Equity,,,53526535,14:21:45,Buy,29,196.5,PRICOLLTD.NS,
2022-10-31 00:00:00,PRICOL LIMITED.,589.5,NSE,EQ,540293,Equity,,,53526536,14:21:45,Buy,3,196.5,PRICOLLTD.NS,
2022-10-31 00:00:00,PRICOL LIMITED.,589.5,NSE,EQ,540293,Equity,,,53526537,14:21:45,Buy,3,196.5,PRICOLLTD.NS,
2022-10-31 00:00:00,Bharat Dynamics Limited,38760,NSE,EQ,541143,Equity,,,1003956,10:10:30,Sell,40,969,BDL.NS,
2022-10-31 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,986.1,NSE,EQ,542920,Equity,,,77125491,11:35:51,Buy,2,493.05,SUMICHEM.NS,
2022-10-31 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,11833.2,NSE,EQ,542920,Equity,,,77125492,11:35:51,Buy,24,493.05,SUMICHEM.NS,
2022-10-31 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,17258.5,NSE,EQ,542920,Equity,,,77125493,11:35:51,Buy,35,493.1,SUMICHEM.NS,
2022-10-31 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,986.2,NSE,EQ,542920,Equity,,,77125494,11:35:51,Buy,2,493.1,SUMICHEM.NS,
2022-10-31 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,3451.7,NSE,EQ,542920,Equity,,,77125495,11:35:51,Buy,7,493.1,SUMICHEM.NS,
2022-10-28 00:00:00,SAMRAT PHARM(BSE INDONEXT),935,BSE,EQ,530125,Equity,,,3621300,11:02:24,Sell,1,935,SAMRATPH.BO,
2022-10-28 00:00:00,SAMRAT PHARM(BSE INDONEXT),6527.15,BSE,EQ,530125,Equity,,,3621500,11:02:24,Sell,7,932.45,SAMRATPH.BO,
